symbol,_J,_U
ALL,0.581598912912,1.902382655186
BRK.B,0.28234950925,30.835781430136
MMC,-0.179227442639,13.852099891026
AON,-0.327752032395,-35.853303520658
AFL,0.635030078263,2.360682225571
CB,1.027397511544,4.455559030879
MET,0.560871197552,2.198941421285
WRB,0.089481686041,-0.71134305786
BRK.A,0.345997716024,29.833382340541
TRV,0.271729778178,14.142386945561
ACGL,0.599931029162,-1.710822585147
Y,-0.241005813966,-1.013107476981
AIG,0.777858981723,2.053861113604
HIG,0.681147175256,9.097324378461
MPWR,0.223084167454,-1.784423187658
DQ,1.826905352224,4.709784433414
SEDG,-1.313232037689,0.346819917829
AMAT,1.388000911953,1.519328817882
LRCX,1.860906432239,2.878726378633
KLAC,1.026972199677,1.884507895822
NXPI,0.69065351572,1.38798947127
AVGO,-0.008151640397,1.499932199123
TSM,0.516998572077,7.144218503148
XLNX,0.415677238647,0.864679422953
MU,0.872114619814,3.188700632349
MRVL,0.064085861203,1.558423701199
TER,1.094200768996,2.949138824445
ADI,0.530324394095,10.515454634359
MCHP,0.649531574091,2.907924500214
INTC,-0.225760144326,0.752912562777
QRVO,0.707295224226,4.442485491362
AMD,-0.026955394876,1.509878019869
TXN,0.503579007763,2.622850276693
IPHI,1.13146374245,1.286748493789
SWKS,0.349850596526,1.150032855682
ON,0.227294973933,4.718832357042
MXIM,0.655918538574,4.581124017418
BLNK,14.758086195242,2.224364160884
GNRC,0.548989672236,-1.18386579192
EMR,0.246216297588,3.863329077754
CMI,0.132000135415,-2.724911522306
FIVE,0.749469453593,2.59176663773
DG,-0.051174160062,-0.324079726916
TGT,0.266960131444,1.291907866288
KSS,0.603973520673,1.409521423644
M,1.484997746469,1.76330590627
DLTR,0.097584615662,0.960788148561
NLY,0.431908102612,1.81816491692
RKT,0.04070395376,-0.469425514079
LOGI,0.0949655987,-0.833264001964
ZBRA,1.226107181399,1.268958422561
AAPL,0.099386046653,-0.585981425052
STX,0.560754184878,1.892483773701
HPQ,0.409936299699,1.842003078539
DELL,-0.902304361419,3.890293720442
CRSR,12.278484169986,1.777384670524
SOL,21.879913650305,4.255382975952
CBAT,18.865772834947,-4.87777450964
JKS,-0.263187853623,0.166367853438
FSLR,0.033942638761,0.052065642595
CSIQ,-0.73726138225,0.683538053926
SPWR,1.615511539751,0.850873416242
TEL,0.043117129107,1.7326116283
PLUG,5.397017182613,2.121203085716
QCOM,0.806744666699,-2.973701022408
A,0.330070325306,0.871597900091
GLW,-0.106294391035,3.018123500643
FLEX,0.673639032535,2.683035523314
FE,0.611818838764,0.980234575593
SO,0.079159831115,-0.593860464783
D,0.476424774317,0.589632464444
ES,0.380248581977,0.616527497307
XEL,0.910179371343,0.957272688079
ETR,-0.044314854401,-2030.592286133572
EVRG,0.037089460676,3.399354148219
PPL,0.113127246448,31.262102595443
EXC,0.01739522072,-0.307600343345
NEE,0.030775518455,-0.401151259684
EIX,0.123623980568,-7.748300470614
DTE,0.238216649257,-3.639602149001
FCEL,20.113422467344,1.824751099561
NOVA,5.153435803131,1.0990916791
PEG,0.030597220952,-0.839007942661
DUK,0.175885589094,0.05747151703
RUN,0.35771932586,0.73451117119
BE,1.618993619027,1.639077980744
TIF,1.746969383793,4.396478859563
FTCH,7.59558337379,1.723061423017
RL,-0.050799596042,2.074234083914
NKE,-0.146200557031,1.70116904236
VFC,0.398972540544,3.016599354586
TPR,4.664380673746,2.277279212529
CPRI,4.11523875548,1.827682730493
WEC,0.784167307177,1.252709739541
CMS,0.352671732098,1.734930167448
ED,0.15127854657,0.407958792406
BEKE,2.268309939273,1.84635667939
RDFN,-0.353067631405,0.42665378459
ZG,0.886152648659,1.69920102107
Z,0.448161744551,1.191988388464
INVH,-0.122429664027,-4.417747890542
JLL,2.7501559456,-20.867618991144
HON,0.860680858568,5.654508588777
ROP,-0.361216815185,2.013573012957
MMM,-0.140568059735,2.379252095676
GE,1.643193343894,2.445000113964
NSC,0.588346917059,-13.599034526986
KSU,-0.007865473484,-26.453725574907
UNP,0.386024557885,6.558309143658
ODFL,-0.037817137698,-2.567400819832
CSX,0.54873080607,18.999831055066
KMB,0.049931473531,-2.750618173461
CL,0.570305180597,-3.583491153779
EL,0.219927579963,-1.231721643237
COTY,9.462565399265,1.671446887708
PLD,0.23963699284,0.478013218332
DLR,0.313329625876,0.643745952073
AMT,0.239133896724,0.1316917146
PSA,0.420228626316,0.539561657086
FRT,1.257855208182,28.197248028628
AVB,0.590696191427,-35.673399310044
SPG,0.652666099098,1.66092347177
O,0.039442291442,-1.743453383838
PEAK,0.217749409727,218.833525746222
EQR,0.876135754788,-6.778777790588
CGC,3.26039065248,1.064473849853
ECL,-0.070686022073,1.769601203497
ALB,1.86866168972,2.224027306386
LIN,0.671773294012,10.543084692236
CF,1.999633721513,1.437926607065
PPG,0.253769060969,1.935968484453
SHW,0.316527990383,2.845217891312
CE,0.509574870862,5.62599849603
MOS,0.081439195862,1.012576101019
IFF,-0.075962687769,-9.153941971082
APD,0.207854779076,-1.435555768797
DD,0.156720227503,1.736445030085
DOW,0.897423812099,2.499841619037
GD,0.278489132332,-13.29505739146
BA,0.762176677652,3.18566487439
LMT,-0.193410960513,-3.330374726083
NOC,-0.090433863387,-1.397243144904
FLIR,0.412137564628,1.776575057892
TDG,0.599480524137,2.622963157013
FDX,-0.346544275486,1.968877295849
CHRW,-0.05687512903,-63.132695282049
UPS,-0.267391824867,4.077306455012
EXPD,0.01093046067,-3.344229113969
AAL,-0.394343899976,1.30767145863
UAL,0.077320777484,1.960817042224
DAL,0.382903453819,1.993052211939
JBLU,0.153843496134,2.167400965054
LUV,0.052915174705,2.060978995778
ALK,0.660532842438,1.850849844972
NCLH,0.577078302474,3.009812156005
QRTEA,3.657132074988,1.278648776913
CHWY,0.823010311781,0.531261899798
W,0.275628470309,-0.799017065134
OZON,,
EBAY,-0.106656775939,0.581679801668
OSTK,-0.878107737775,0.264258950831
CPRT,0.118253592445,1.509804969932
VIPS,1.868292899344,1.211065950984
AMZN,0.046450954427,-0.363561633179
BABA,0.261676935921,-0.904882224637
DADA,1.779773360099,0.795156613912
JMIA,3.65963896644,1.0734700239
ALLY,0.011292765203,40.771542497006
BIDU,0.68274372503,0.123316131929
TTD,1.663016568338,1.074249060248
GOOGL,0.458662327058,-5.098869807503
GOOG,0.512208970417,-7.074116514532
FB,0.091986162797,1.275296299969
YY,0.888668422542,4.894427125408
MTCH,0.786644450151,0.852061726823
TWTR,-0.101884198237,0.460575022993
WORK,-2.05620227492,1.490132509107
TECK,1.065546123704,1.967847406929
LAC,-0.898693701537,-3.635301449168
WAB,0.726168550997,2.213097085357
AU,2.131337993747,2.131069671142
PLL,-0.888542204772,4.74540887004
NEM,0.986807945427,0.930300120288
WPM,2.501925350681,1.519361382506
X,1.166013460281,1.189731904985
CLF,0.361703493889,1.331037757759
PAAS,1.984346884288,1.281194898184
AA,3.282495918802,2.198034750874
FCX,1.173161227134,1.670178351993
GOLD,2.326783249696,2.045998365006
BHP,0.205873031788,1.247199537591
RIO,0.526215668747,1.592630439908
NUE,0.207573981745,2.984102959984
BBL,0.392066735477,1.175591089773
FAST,0.514385584125,7.705543037905
RAIL,-58.404117601165,1.651091156506
DE,0.475281290022,5.256690885442
SWK,0.023214840465,2.603545651966
CAT,-0.053818195983,2.646193871125
AME,0.379614744937,16.170885668419
DHR,0.597389748675,1.103910649425
ITW,0.008618381091,3.012271293348
PH,0.725888364211,2.441661459159
FTV,0.226972134482,7.673031832765
TT,1.404900780554,-1.593376075442
PCAR,0.010741075303,0.088914866397
LYFT,1.617604476382,-17.066184848893
SNE,1.907000106732,1.264584266358
LEN,-0.168170977864,1.027980699595
DHI,-0.125470748457,1.963175335691
PHM,-0.211249691622,0.507583868865
CCL,0.924042393527,1.407261184396
TSCO,-0.111918604539,-0.372445070902
TCOM,0.557008277922,-2.019209688875
RCL,0.310714103887,1.896554535342
PENN,0.163008516258,1.026354677867
DPZ,0.023063765017,-0.504716354331
CMG,-0.069049012607,3.061787442076
